"###¡Tu voz cuenta!  

Con el propósito de fortalecer el conocimiento sobre la realidad profesional de los jóvenes universitarios, estamos aplicando esta encuesta en colaboración con la **Asociación Internacional de Expertos en Seguimiento y Vinculación con Egresados (AIESVE),** **(México)** en coordinación con **EDUCACER (Centro de Formación Educativa)** y la **Escuela Superior Politécnica de Chimborazo (Ecuador).** 

La información que usted comparta será fundamental para generar estrategias que impulsen el desarrollo integral de los estudiantes. Su participación es confidencial y de gran valor para el éxito de esta investigación internacional.","**Instrucción:** Para comenzar, te pedimos que respondas algunas preguntas sobre tu perfil. Tu información será tratada de forma anónima y confidencial, y se utilizará únicamente con fines estadísticos para esta investigación.",¿En qué universidad estudias actualmente?,¿En qué país estás cursando tus estudios?,¿A qué área principal pertenece tu carrera?,"Por favor, escribe el nombre de tu carrera o programa de estudios.",¿Qué semestre estás cursando actualmente?,¿Cuál es tu edad?,¿Con qué género te identificas?,"**Instrucción:** A continuación, evalúa en qué medida sientes que dominas las siguientes competencias clave para el mercado laboral actual, considerando el impacto de la inteligencia artificial.",Análisis e interpretación de datos.,Fundamentos de ciberseguridad.,Conceptos básicos de programación y automatización.,"Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E)",Pensamiento crítico y resolución de problemas complejos,Comunicación efectiva en entornos digitales,Adaptabilidad y aprendizaje continuo,Creatividad e innovación,Colaboración en equipos multidisciplinarios,**Instrucción:** Evalúa en qué nivel estás de acuerdo con las siguientes afirmaciones sobre la pertinencia de la formación que recibes en tu institución educativa de cara a los desafíos del mercado laboral actual.,El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.,Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.,Siento que la formación que he recibido me prepara para trabajos que aún no existen.,El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.,La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.,"**Instrucción:** A continuación, evalúa tu nivel de confianza respecto a tu futura inserción en el mercado laboral y los factores que consideras más relevantes para ello.",Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.,Mi perfil de egreso es competitivo en el mercado laboral actual.,"Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.",Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.,"Habilidades técnicas y digitales (ej. programación, análisis de datos)","Habilidades blandas (ej. pensamiento crítico, adaptabilidad)",Experiencia práctica o pasantías,Red de contactos (networking),Título académico de la universidad,"**Instrucción:** Para finalizar, evalúa en qué medida estás de acuerdo con las siguientes afirmaciones sobre el profesorado, los recursos disponibles en tu universidad y el futuro rol docente.",El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.,Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.,"Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.","En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.",El rol principal del profesorado será el de facilitador y guía del aprendizaje.,"El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.","El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.",_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
,,ESPOCH,Ecuador,Ciencias Económicas y Administrativas,Finanzas,8vo Semestre,21,Masculino,,Avanzado,Básico,Básico,Intermedio,Avanzado,Intermedio,Avanzado,Intermedio,Intermedio,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Importante,Importante,Importante,Importante,Poca importancia,Importante,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,588407179,dc533f41-a5d9-487c-81fe-4ca417e8f40b,2025-10-22T15:17:26,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,141
,,ESPOCH,Ecuador,Ciencias Económicas y Administrativas,Finanzas,8vo Semestre,27,Masculino,,Intermedio,Intermedio,Básico,Básico,Intermedio,Básico,Intermedio,Intermedio,Intermedio,,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,,Muy importante,Muy importante,Muy importante,Muy importante,Importante,Importante,Muy importante,Muy importante,Muy importante,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,588407638,4c6fa557-de77-4c27-ab58-f8bf033e724e,2025-10-22T15:18:08,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,142
,,ESPOCH,Ecuador,Ciencias Económicas y Administrativas,Finanzas,8vo Semestre,23,Femenino,,Avanzado,Avanzado,Avanzado,Avanzado,Avanzado,Avanzado,Experto,Experto,Avanzado,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Neutral,588409941,8b9d1cf3-453d-4bbc-9ad9-742aaf8e8bb7,2025-10-22T15:20:36,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,146
,,ESPOCH,Ecuador,Ingeniería y Tecnología,Ingeniería en telemática,8vo Semestre,21,Femenino,,Básico,Básico,Básico,Intermedio,Intermedio,Avanzado,Avanzado,Avanzado,Avanzado,,Neutral,De acuerdo,Neutral,De acuerdo,De acuerdo,,Neutral,Neutral,Importante,Importante,Neutral,Importante,Importante,Neutral,Muy importante,,De acuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,588410129,3b799e75-eb2e-495d-b6e3-b5faec8f63c8,2025-10-22T15:20:48,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,147
,,ESPOCH,Ecuador,Ciencias Económicas y Administrativas,Finanzas,8vo Semestre,21,Femenino,,Intermedio,Intermedio,Intermedio,Avanzado,Intermedio,Intermedio,Avanzado,Avanzado,Avanzado,,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Muy importante,,De acuerdo,Neutral,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,588410213,59cbe922-d4e7-4f3a-8585-52f1e4577e87,2025-10-22T15:20:53,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,148
,,ESPOCH,Ecuador,Ciencias Económicas y Administrativas,Finanzas,8vo Semestre,24,Femenino,,Intermedio,Intermedio,Intermedio,Intermedio,Intermedio,Intermedio,Intermedio,Intermedio,Intermedio,,Neutral,Neutral,Neutral,Neutral,Neutral,,Importante,Importante,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,588410746,fd5edeb0-1ada-46d0-9b81-c78665697345,2025-10-22T15:21:20,,,submitted_via_web,,vChg7yMeBKKGRfjpN9QAMn,,149
